Text,Label
Thanks for replying me in stream ❤️❤️❤️❤️,Not Tulu
I am in love with ajji.,Positive
We mangaloreans already registered a  missing case for your pukuli.,Not Tulu
yasa movie super undu acting la super,Positive
Kode apanda  arpith anna na gf cal malderand,Mixed
"This man cannot match arpit, e janata yapala onte bore",Mixed
"My favourite one is """"enchi savuda jogging"""" 🤣🤣🤣""",Positive
i like beary language,Not Tulu
Can anyone tell me in which video does he speak about petrol prices,Not Tulu
Beautiful song and melodious singing. May God bless you Nidhi 🙏,Not Tulu
e programme mast shoku undu... purergla best of luck.. baka mast solmelu,Positive
Superb jokes I love dis programs,Not Tulu
"""Mad in kudla next theme try on",Not Tulu
"""Tulu natka ranga bhumi gu yana🙏🙏🙏🙏,👍👍👍👍👍""",Neutral
Tulunada Ratnolu namma,Positive
Wavvv super mare ever🙈👌👌,Positive
Wish you guys the same 🎊🎉❤❤,Not Tulu
"सबै ठिक लाग्यो , अभिनय स्वर  तर गितको शिर्षक",Not Tulu
"""Yenk e video thuth Pk athnd panda",Neutral
Salmann pandh ireg onji content thikndathe,Mixed
"Tailor ejjinda panra panpe vyvasthe manpuga""",Neutral
"""FYI, I'm a pee lover after watching this video😁""",Not Tulu
Enchina comedy ya ayena mande boare ataA,Mixed
"""Top dailog nama UB dakul..,♥️♥️""",Positive
markme is best actr,Not Tulu
ಅಣ್ಣ ಮಸ್ತ್ ಖುಷಿ ಆಪುಂಡು ಇರೆನ ಶೋ ತೂವರೆ....,Positive
"ಚಾ ಪರ್ಪುನ ಪೊರ್ತುಡು ಬೆಚ್ಚಬೆಚ್ಚ ಬನ್ಸ್ ಇತ್ತ್ಂಡ ಬೊಕ ದಾಲ ಬೊರ್ಚಿ😍 #ನಮ್ಮ_ತೆನಸ್ #KooInTulu ",Neutral
Pls full movie upload malpuna date panle,Positive
Selfie le le re,Not Tulu
टिकटकमा सुनेर आएको।कत्ती राम्रो पुकुली माया।,Not Tulu
"""perfect , beautiful performance suuuper...all the best nxt level""",Not Tulu
""".i like vinayak, very good ,all the best.""",Not Tulu
Traffic police nath malla darodekoranakulu yerla ijjer,Negative
निकै राम्रो छ गित सम्पुर्ण टिमलाई प्रगतिको शुभकामना ! ! Keep Loving & supporting,Not Tulu
Miss You Ajji,Neutral
ഞാൻ ഉണ്ടേ ഒന്നും മനസ്സിലായില്ല എങ്കിലും ട്രൈയ്ലർ സൂപ്പർ ആണ്,Not Tulu
Next song coming soon chakkuli maya ku,Not Tulu
Shok athundu gulab jamoon,Positive
"ಏತ್ ನಾಯಿ.,. ಮಾರ್ರೆ....",Negative
"""ಓಪನ್ ಹಾರ್ಟ್, ಯಾವುದು ಮನಸ್ಸಿನಲ್ಲಿ ಇಟ್ಕೊಲ್ಲಾ.""",Not Tulu
"ಕಾಸರಗೋಡ್‌ಡ್ ಬುಡುಗಡೆ ಆಂಡ್.... ಗೇನಸಿರಿ #JaiTulunae #kasaragod  #Kasrod #GenaSiri #transcription  #JnaneshDeralakatte ",Neutral
Yank Esta tulu movies,Positive
wow prashamsha great...yepala barondippule....,Positive
ಎಡ್ಡೆ ಅತ್ಹುಂಡು ಸ್ಟೋರಿ  ಕಂಟಿನ್ಯೂ ಮಲ್ಪುಲೇ 👌🏻,Positive
ha ha aziz komide,Not Tulu
Swalpa movie dialogue use agide,Not Tulu
yenchina comedy marre,Mixed
ಏಷ್ಯಾ ಖಂಡದ onje onji pies ಅರವಿಂದ್ ಬೊಳ್ಳರ್.....,Positive
Fast like korre ayiji so fast comment yennane,Positive
"""Yaan ludo gobbune ijji, dumbu board dartondu itte, nana mistake d phone darpuna borchi.""",Neutral
"This is d most hilarious comment section ever!!!!😂""",Not Tulu
ವಾಯ್ಸ್ ಅಮರ್ ಪ್ರಸಾದ್,Not Tulu
Ohhhh God!!!! I just loved the trailer!!❤ All the best to the entire team❤,Not Tulu
Pundi yedde ittnd korida gasi super combination,Positive
O:59 uppu kodakkena athund😂😂,Neutral
"""Yan masth telithna comedy undhe...",Positive
"Nice Review, great script, yedde voiceover. Into AV match aayiji",Positive
Yappa devere ... e song hit avodanda  au kudla bka udupi people rdh mathra,Mixed
Good nice to see yaksharasa,Not Tulu
ಓ...ಅಣ್ಣಾ..ಈರೆನ ಪುಕುಲಿ ನನಲ ತಿಕ್ಕಿಜ..,Neutral
"""Hadi Jhalak ,  ha enna kandanyada masth preethi aathnd.orora yaan aregh panpe. Daaye?""",Neutral
Bangady super top comedy kusi apudu,Positive
Bangude edde sale avu nana 😀😀,Neutral
Eer Arpith annana akkana?,Neutral
#Santhu kennege like korye👍👍👍👍👍👍👍👍👍👍👍👍👍,Positive
Happening now in @clubhouse!,Not Tulu
prashamsa...best 1 ....good 1 keep it up,Not Tulu
last twist dada ippu pandh aalochane malthondhithe apaga gothnd arpith bill ge leppun pandh,Mixed
guru kiran gud commented ....,Not Tulu
Nimage hindhu dharma ve siguda comedy madlikke. Namma devarannu e reethi naave avahelana madire,Not Tulu
Tooooo good to be seen,Not Tulu
ನಮ್ಮ ತುಳುನಾಡು   .ಜೈ ನಾಡು,Positive
Shwetha akka ..acting super,Positive
"ಕುಕ್ಕೆದ ಮುಟ್ಟಡ್ ಇಪ್ಪುನ ಕುಲ್ಕುಂದಡ್ ನಡತೊಂದಿತ್ತಿನ ಎರ್ಲೆನ ಜಾತ್ರೆಡ್ ಗಟ್ಟರ್ದ್ ಎರುಕ್ಲೆನ್ ಕನಪೆದೆರ್. ಸಾರಗಟ್ಲೆ ಎರುಕುಲು ಸೇರೊಂದಿತ್ತಿನ ಈ ಜಾತ್ರೆಗ್ ತುಳುನಾಡೊರ್ಮೆರ್ದ್ ಜನೊಕ್ಲ್ ಬತ್ತ್‌ದ್ ತನ್ಕುಲೆಗ್ ಬೋಡಾಪಿನ ಎರ್ಲೆನ್ ಕೊಂಡೊವೊಂದಿತ್ತೆರ್. #KooInTulu #ನಮ್ಮ_ಊರು ",Neutral
@nagarajacharya5341  😂😂 andhu bro,Neutral
"Yan thase bottunu.alpa kola dalpa ynklna love athini. Thaseda pettg 2 janala  marl ayina😍😍""",Positive
topic new padhule episode jasthi manple,Positive
Bari porluda program.. Nanath inchina program barondu uppad.,Positive
"""Enchina avasthey maree ,,super ye !!",Positive
Ohhh av spoofs a. Enk dadana betene kend 😂😆,Neutral
Hii akka erana vlog  sup ❤❤❤,Positive
Nanala ettharag belevad,Positive
"ಕಾರ್ನಾಡ್ ಸದಾಶಿವ ರಾವ್ ಮೆರೆನ್ 'ಕುಡ್ಲದ ಗಾಂಧಿ' ಪಂದ್ ಪನ್ಪೆರ್. #ನಮ್ಮ_ತುಳುವೆರ್ #KooInTulu ",Neutral
Dagalbajilu full movie upload manpule bro please,Positive
super thulu comedy...namma kudla great,Positive
"ಬಲೆ ತುಲು ಬರವು ಕಲ್ಪುಗ..... #TuluBaravu #TuluScript #TuluLipi #TuluBarahu #TuluScriptLearningClass ",Neutral
Aa Saara Yesaluda Tamare Namma Bashe,Positive
ER BHAYABKARA MARRE,Positive
Super  erna  dance,Positive
2:07 network ಸಿಗ್ತಾ ಇಲ್ವಾ,Not Tulu
"santhu  ora erena porluda mone topale mare tuka aa mangana mone........santhu#santhus fan""",Mixed
Onji panpe undu malayalam movie kunjikoonan da pakka copy onthe  swanthike uppad maare,Negative
"""Most Underrated actor saikrishna",Not Tulu
Rakshith shetty na ow movie av,Neutral
Ajjigu bere padarrtha maadi,Not Tulu
ಬೋರ್ full ಬೋರ್,Negative
ಇಂಬೇನ ಪುಕುಳಿ ಯೇ ರ್ ಕಂಡದಿನಿ ಮಾತ್ರೆ,Mixed
Foot print... Fingerprint ath...,Neutral
Bakwas.....ow movie la realitig kaital ijji !!,Negative
"ಮಣೆ ನರಮಾನಿ ನೆಲಟ್ಟ್ ಕುಲ್ಲೆರೆ ಮಲ್ತಿನ ಮರತ್ತ ಸೊತ್ತು. ಕುಲ್ಲೆರೆ ಮಾತ್ರ ಅತ್ತಂದೆ ಬೇತೆ ಬೇತೆ ಬೇಲೆಗ್ಲಾ ಮಣೆ ಗಲಸುವೆರ್.  ದೈವ ದೇವೆರೆನ ಕೆಲಸೊಗ್ಲಾ ಮಣೆ ಬೋಡು.  #ನಮ್ಮ_ಸೊತ್ತು ",Neutral
Nice vlog Rakshita.❤,Not Tulu
Vikas Boduuu .....Budre Balli🎆,Neutral
"""ನಮ್ಮ ತಂಡದ ಒಂದು ಚಿಕ್ಕ ಪ್ರಯತ್ನ ದಯವಿಟ್ಟು ನಮ್ಮ ಈ ಕಿರು ಚಿತ್ರ ನೋಡಿ ಆಶೀರ್ವದಸಿ🙏",Not Tulu
Nice voice Irena ️️️️,Positive
Nanath real story based short movei manpule.... ❤❤❤❤❤❤,Neutral
Kudla da road king,Positive
ಕುಸಾಸ್ ಇತ್ತುಂಡು. ಪ್ರಾಕ್ಟಿಸ್ ಕಮ್ಮಿ. ಒಟ್ಟುಗ್ ಓಕೆ.,Mixed
ಎಲ್ಲಾ ಕಲಾವಿದರಿಗೆ ನವರಾತ್ರಿ ಹಬ್ಬದ ಶುಭಾಶಯಗಳು,Not Tulu
Bahubali n kerni katappa e re 😂😂😂😂😂😂😂😂. Ninan budpujji yn,Neutral
O my turu lovb.....,Not Tulu
Superrr prveen bka kodapadvu hasy 👌👌👌😍,Positive
Aaye sapura ulle ayike pukuli maya aatundu. Chooru dappa aanda pukuli tikkundu,Mixed
"""Full nataka upload malpule sir, I am waiting for this drama""",Positive
3:26 childhood memories 🤣,Not Tulu
Petta godde... like our Arpith bro😂😂,Neutral
"""Good one! 😆😆😆Nice to see you collaborate with our other Tulu channels....one family! 👍🏼👍🏼",Not Tulu
Pukuli touching song 😍😂,Not Tulu
My name is appa anappa,Not Tulu
Yedde aavad 100dina oriyad thulu movie.,Positive
ಕಾಪಿಕಾಡಣ್ಣನ ನವೀನ್ ಡಿ.ಪಡೀಲಣ್ಣನ ಕಾಂಬಿನೇಷನ್,Positive
"Tulu letter: ku, ಕು, കു #TuluBaravu #ReviveTuluScript ",Neutral
Yendala time ejji 😂😂,Neutral
"Prajna akka daye marre Dhanrajer g i namune kelasa korpunu,",Mixed
"""How many of you are from Mangalore, India? Raise up.",Not Tulu
This reminds me rasode mai kon ta,Not Tulu
ಅರವಿಂದಣ್ಣಡ ವಾಲ್ಟರ್ ರೆನ ಇಂಟರ್ವ್ಯೂ ಮನ್ಪಲೆ...,Neutral
Expectation was more from Mr. Umesh Mijar.,Not Tulu
"""super aathnd yashi anna,👌👌👍👍""",Positive
🤣🤣🤣🤣🤣🤣🤣🤣🤣sir blooper videos padle,Neutral
Super bhagavathige and sundara bagadi sir super comedy ❤,Not Tulu
Actually I figured out who is  santhu actually I saw his face,Not Tulu
Super lyrics....😍evergreen song🔥❤️,Not Tulu
ಇಂಚೆನೆ ನನಾತ್ news ಕನ್ಲೆ ಎಂಕುಲು  ಸಾದಾ ನಿಕಲೆಗು ಸಪೋರ್ಟ್  ಉಲ್ಲ,Positive
Super vlog 👌 ❤️ ❤️ 🥰 👌,Not Tulu
Eeth etthara baakil eer saavgu deethina,Negative
Mumbai tulu super,Positive
2 ಏಕ್ರ ದ ಕರಡಿ ಬೋಕ ಪನಿ ಕಪ್ಪೆ 😂😂😂😂,Neutral
Movie link budle mare plzzz,Positive
Team d Suresh anne ijiinda maaja ijji,Mixed
Mastu kushi undu.,Positive
1:00 d onji yedde add bathund 😂,Positive
Ithe Encha ullariye?!,Mixed
I liked your video 👍❤️,Not Tulu
lakshmi shetty  MST commedy balle telphule,Positive
Shri Arvind Bolar paterna kenunave porlu.,Positive
"RT @ManjammaJogathi: ""ಎಂಕ್ಲೆನ ಬಾಸೆ, ಸೊರ, ಎಂಕ್ಲೆನ ಪೆರ್ಮೆ"" ತುಳುನಾಡ ಮಕ್ಕಳು ನಮ್ಮ ನಾಡಿನ ಮಕ್ಕಳು. ಮಾತೃ ಭಾಷೆ ತುಳುವನ್ನು 8ನೇ ಪರಿಚ್ಛೇದಕ್ಕೆ ಸೇರಿಸಬೇಕು…",Neutral
super act nithin was fantastic act in this,Not Tulu
"""Any kudlada ppl here",Not Tulu
"""Athye irna tik-tok account und athe🤭🤭",Neutral
Supr act.. Good comidy..Dala gottantinagul mAst panper.. Supr kanasu..,Mixed
Wonderful song loved it❤ Keep doing such amazing   things 💥,Not Tulu
Stone vondu stone vondu...... A!!! Stone!!!!  most funniest part .... Sir ur expressions !!️,Neutral
U missing santhu 😂😁😀we also santhu 😀😂,Not Tulu
BG is sooooooooper..its really pop song in tulu,Not Tulu
Radhe na badhe,Neutral
Paterote comedy ...suprrrr deepak rai...,Positive
docter acting super nice body language and others act also good,Not Tulu
Gaala paad d aandala AYANA pukulin patthod.devere,Neutral
ಜಗತ್ ಪ್ರಸಿದ್ದ ಪುಕುಲಿ\u200c,Not Tulu
"ತಿಮರೆದ ಬಗ್ಗೆ ನಿಕುಲೆಗ್ ಗೊತ್ತುಂಡಾ? #ನಿಕುಲೆಗ್_ಗೊತ್ತುಂಡಾ? #KooInTulu ",Neutral
Film d yedde review undu,Positive
Nama karnataka d ippuna att...nama India d ippuniye😂😂,Neutral
Sunder rai mandar great artist. Wish you all the best.,Not Tulu
Super song all the best deeksha 🚀,Not Tulu
Punki tha maryede ponda athe..?,Neutral
Full movie upload malpule pls.....,Positive
Pukkuli maya andha,Neutral
deepak rai.....dadeye eerna acting....superb ye....please pura videos upload malpule....waiting for more videos...,Positive
"ಕುಡ್ಲದ ಕಂಕನಾಡಿಡ್ ಇಪ್ಪುನ ಬೈದೆರ್ಲೆ ಗರೋಡಿದ ವಿಶೇಷತೆ ತೆರಿಲೆ. #KooInTulu ",Neutral
Bega barad marre,Mixed
Lyrics and voice excellent ❤❤❤,Not Tulu
Onji off screen vdo mnple boss,Neutral
Pukuli ath thigale,Negative
Hiii ande onas dade spl,Positive
Yan kaali Aravinda bolar undu ande matra thupunuuu ejiindaa undu waasteee,Negative
Popa chips kendi jera,Neutral
Sarathi team 4th place.. It's not good... Second place Sarathi team barodu ithnd,Neutral
super thulunade super,Positive
E nataka full watch malthde,Neutral
bolar sir au erna jasthidha pathera,Positive
Santhu nora tojpale arpith,Neutral
superrrrrrrrrrrrrrrr ithenda ya,Mixed
Kalavati Dayanand voice,Neutral
"Bale telipale,. ""prashamsha team"" it\'s very comedy Team.. I\'m so happy",Positive
ಬಾರಿ ಜೋರು. ನಡಪುಂಡು ಬೇಲೆ 😂😂😂😂,Neutral
@anushaak3800  song edde undu ancha batthina 😂🤙,Positive
"Awesome ️', ""Masth ''Prathibhavanthe ''yeklena Tulu nadada Magal Rakshitha.. ."", 'Super acting",Positive
Awaiting Dev ...namaskara,Positive
Congratulations sir all the best 🎉,Not Tulu
Full boring... comedy malpunanda edde comedy malpule marre...publicity bodad baig batEnglisha comedy dayeg malpuvar,Negative
Sam bro... 🙏🏻🙏🏻.. For ur Iove with tulu... Kannada writing interest...kindness.. Humbleness.... 👍🏼👍🏼🌹🌹,Not Tulu
Kapikadre kudora try malpuvara ans me,Neutral
Add more Visio please,Not Tulu
"ADBHUTHA, AMOGHA, VISMAYA SHAHABBAS !!!!!!!!!",Not Tulu
Porl mooded bydnde,Positive
"ಕಾಸ್ರೋಡ್‌ದ ಕಾಟುಕುಕ್ಕೆಡ್ ನಡತಿನ ಬಲೆ‌ ತುಲು ಲಿಪಿ ಕಲ್ಪುಗ ಕಜ್ಜಕೊಟ್ಯದ ಮುಗಿತಲ ಲೇಸ್ #ಕಾಟ್‌ಕುಕ್ಕೆ#TuluScriptExam #TuluScriptLearningClass #BTLK #BaleTuluLipiKalpuga #TuluScript #TuluLipi #TuluBaravu #TuluBarahu #JaiTulunad #TuluAcademy #Tulunad #Kasrod #Kasaragod #Katkukke ",Neutral
Stand up comedy malpele plz waiting,Neutral
Ayana pukulin ol naadunu mare? 🤣,Neutral
Dada maare ndhu?? Nett comedy vondu? Artha ne ijji. Big time disappointment.,Negative
E sarthi baruva,Mixed
Yenkla onji team d act malpare tikka😁,Neutral
Shashi anne pandina curect etthend,Positive
Navin dramakke sari cinimakke unpit natane baradu boraguttade,Not Tulu
"ಕೂಲಿ ಪನ್ಪಿ ಕನ್ನಡೊ ಸಬ್ದೊಗು ತುಳುಟ್ ದಾದ ಪನ್ಪೆರ್ ಗೊತ್ತುಂಡೇ? #ನಿಕುಲೆಗ್_ಗೊತ್ತುಂಡಾ? #KooInTulu ",Neutral
Mast mast Mata,Positive
Aye kochi g load athe ye,Neutral
Last g aregla gothand mare 😄 pukuli panda dada andh,Neutral
Full padle anna pls...,Positive
Full movie yepa YouTube g release manpuvar,Positive
"don't compare with anyone""",Not Tulu
ಮೈನಡುಗಿಸುವ ಅಂತ ಕಥೆ ಸ್ವಾಮಿ ಕೊರಗಜ್ಜ ಎಲ್ಲರಿಗೂ ಒಳ್ಳೆಯದು ಮಾಡಲಿ,Not Tulu
Pro tera pukuli kidar gaya bro,Not Tulu
Masth yedde movie,Positive
Namaste mathragla yan onge tulu ta abimani,Positive
"""ಸೂಪರ್,,,,, ರವಿ ಆಂಡ್ ಪುಷ್ಪರಾಜ್""",Positive
"Tell few names continuously by heart, is it comedy?",Not Tulu
ಅಜ್ಜ️ mathergla ರಕ್ಷಣೆ ಕೊರ್ಲೆ ️,Positive
ಖಂಡಿತ ಆನ್ಸರ್ ಹೇಲ್ಬೆಕು,Not Tulu
wat a supperb act......this is bale telipale,Not Tulu
"ಸೂಪರ್ ಎಪಿಸೋಡ್,,,,,,,,ಇನ್ನೂ ಮುಂದೆಯೂ ಹೀಗೆ ಮೂಡಿಬರಲಿ",Not Tulu
"ನಮ್ಮ ಕುಡ್ಲ ಇನಿ ಈತ್ ದುಂಬರಿಯೆರ ಕಾರಣ ಆದಿಪ್ಪುನ, ""ಆಧುನಿಕ ಕುಡ್ಲದ ಪಿತಾಮಹ"" ಪಂದ್ ಏರೆನ್ ಲೆಪ್ಪುವೆರ್ ಗೊತ್ತುಂಡೇ? #KooInTulu ",Neutral
Eth sala thamashe factory panpar 😅,Neutral
"""Divided by cast, united by pukuli""",Not Tulu
Where do arpith live??,Not Tulu
Pls full movie upload manpule️,Positive
Super  comedy dinesh Anna,Positive
Thank u mik to make us laugh u guys are amzaing   😆😆,Not Tulu
super but nanala important avodu ok,Mixed
Saruku salman yenna panku aklena pudar deppochi,Mixed
"""Yerla ullera ath, mulu ippune tulunad dakulu😂💯""",Positive
We want Santu . We want Santu🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,Not Tulu
Ya it's true bro,Not Tulu
Me Clean PC if,Not Tulu
kandabate over acting,Negative
Ode molena ammade konopuni,Negative
"Aa Pacche Pacche Pajiru, Aa Selli Selli Neeru",Neutral
Swami ajja pand yer nambuvera aklen yepola kai budayer ajje,Positive
ganjila vuppad la avva jst crt it,Neutral
E dumbu da Tulu version edde baidnd,Negative
@vaishnavikr7359  erna pukuli maya aande,Neutral
"""Wow Super Undu, All the best ❤""",Positive
"Thank you sir. season 3 telecast aavondundaathe.. Daily 1 video Upload maltonduppuva. :)""",Positive
Earliear i tought which language after that i realiged,Not Tulu
"But girl makeup over athnd..not good""",Negative
@5.41 er va pitcher tood roma ijji panne,Mixed
Deepak rai ajji porlu thojuver,Positive
And eerna mone tutara 😜😜😜😜😜,Neutral
E move tuvara mast kusi apundu jokes  la mast undu,Positive
"Yenklu undu natakanu caset d kenondhu Etta,kushi and nataka kendh balyada nenap aandh.",Positive
no idea seems like judge##lol,Not Tulu
nim bojjava songaa,Negative
"""yedde athndu,  Bust of luk""",Positive
Mast porlu undu frds spr..keep smile,Positive
Bale Tulu Lipit Bareka | 26.01.2024 | TMA PAI #Kodavoor #Odipu #TuluScript #JaiTulunad #BaleTuluLipitBareka,Neutral
Yakshagana kalavede Super,Positive
"Eagl nigalegh masthhh support malthondu ulla....""",Positive
ninna manas avu  > ninnamana sau,Mixed
ದಿರಾಜ್ ರೈ  buka ಟೈಮ್ ಸೂಪರ್,Positive
ಕಾಮಿಡಿ ಪಂಡ ಇಂಚೆನೆ ಬೋಡು ಏರೆನಲಾ ಮೆಚ್ಚವುನಂಚ ಇಪ್ಪರ ಬಲ್ಲಿ..,Positive
eeeerna jokulu Edde undu😅,Positive
0:55 pukuli nadh kornda 1 laksa cash price,Neutral
"""Bhagavatige, maata artist nakul superb 👌👌👍👍comedy 😍👌👌""",Positive
Leera the soulmate review plz,Not Tulu
"""Omago turu lobh 😂😂",Not Tulu
Maha Prabhu nivenu eli 😅,Not Tulu
"pashamsa team ,",Neutral
ಸೂಪರ್ ಅಮರ್ bro,Positive
Ajjina na nenapu aandu.. Meren tudu,Positive
Theatre pod thuthveda gothathu..,Neutral
ಇದ ಮುತದೈಟ್ ಬೆಸ್ಟ್ ಉಂದೆ....❤️,Positive
Overact jaasthi aand,Negative
tulu baralla sir aadru comedy super,Not Tulu
I miss you santhu,Not Tulu
Parabu bari porlu undu,Mixed
not worth for bale telipale,Not Tulu
Serial  Gatti meladha vedhanth na thangi padina pone,Neutral
ಮೆರ್ ಒಲ್ತಾರು ಉಂದು ಪರ ವೀಡಿಯ,Neutral
Erna Video ge kaathonditte.. Batthnd... pi atth.. eerna video,Neutral
Bor mane sateee,Neutral
+Hariprasad Shettigar andye ave yanla panpini....tulu te paterle,Neutral
"""You had promised that you'll show Santhu after 1 lac subscribers ...",Not Tulu
Bro Erna stand-up comedy yepa barpundu 🙃,Neutral
ಅಪ್ಪೆಗ್ ಕೋಪ ಜಾಸ್ತಿ,Neutral
Mokshith gawda alankar,Neutral
ತುಳು ಭಾಷೆ ಅಂತ‌ ಹೇಳಿ ಇಂಗ್ಲಿಷ್ ಭಾಷೆ,Not Tulu
Daitha onji avasthe anna,Negative
I'm waiting 🔥🔥🔥🔥 Nxt onji bega budle ❤️ padya uppad 😂,Positive
Nice... Super.... Yank thumba esta and song bokka dance,Positive
Arpith bro.. Avu thumbnail d bodandhe Kulda(Not kudla) padina?,Mixed
Pooja Poojary ..  Mo,Not Tulu
avve kannada progrm d aathunda kalavide pidayi popunath judges nakl pidae pothuver,Mixed
"""like, if u heard Arvind Bolar's  voice""",Not Tulu
Wahhh Arvindnna too good always,Positive
Broh this one is awesome telth telth saakand😂😂🤣💥😍❤️,Positive
Jai pukuli anna first time nepali song trending in manglore jai pukuli,Not Tulu
Enchina saawda camera work.  Improvements awodu. Web series’s itthe agathya itthijji. Tulu movie g,Negative
"ಬಂಟ್ವಾಳ ನಾವೂರಡ್ ಮುಗಿತಲ ಲೇಸ್ #Bantwal #Navoora #JaiTulunad #TuluAcademy #TuluScript #TuluLipi #TuluBaravu #TuluBarahu #BaleTuluLipiKalpuga #TuluScriptLearningClass #Tulunad #Tulu #Tuluva ",Neutral
"kapikad sirg yepala support undu ️,all the best sir..",Positive
"All the best  muneesh kudla team,",Positive
